Entity,Code,Year,Per capita plastic waste (kilograms per person per day)
Albania,ALB,2010,69
Algeria,DZA,2010,144
Angola,AGO,2010,62
Anguilla,AIA,2010,252
Antigua and Barbuda,ATG,2010,0.66
Argentina,ARG,2010,183
Aruba,ABW,2010,252
Australia,AUS,2010,112
Bahamas,BHS,2010,0.39
Bahrain,BHR,2010,132
Bangladesh,BGD,2010,34
Barbados,BRB,2010,0.57
Belgium,BEL,2010,0.08
Belize,BLZ,2010,172
Benin,BEN,2010,43
Bermuda,BMU,2010,252
Bosnia and Herzegovina,BIH,2010,144
Brazil,BRA,2010,165
British Virgin Islands,VGB,2010,252
Brunei,BRN,2010,26
Bulgaria,BGR,2010,154
Cambodia,KHM,2010,66
Cameroon,CMR,2010,46
Canada,CAN,2010,93
Cape Verde,CPV,2010,65
Cayman Islands,CYM,2010,252
Channel Islands,OWID_CIS,2010,252
Chile,CHL,2010,119
China,CHN,2010,121
Christmas Island,CXR,2010,252
Cocos Islands,CCK,2010,252
Colombia,COL,2010,144
Comoros,COM,2010,201
Congo,COG,2010,69
Cook Islands,COK,2010,144
Costa Rica,CRI,2010,258
Cote d'Ivoire,CIV,2010,103
Croatia,HRV,2010,252
Cuba,CUB,2010,89
Curacao,CUW,2010,252
Cyprus,CYP,2010,248
Democratic Republic of Congo,COD,2010,45
Denmark,DNK,2010,47
Djibouti,DJI,2010,103
Dominica,DMA,2010,149
Dominican Republic,DOM,2010,144
Ecuador,ECU,2010,147
Egypt,EGY,2010,178
El Salvador,SLV,2010,147
Equatorial Guinea,GNQ,2010,144
Eritrea,ERI,2010,45
Estonia,EST,2010,176
Faeroe Islands,FRO,2010,252
Falkland Islands,FLK,2010,252
Fiji,FJI,2010,189
Finland,FIN,2010,234
France,FRA,2010,192
French Guiana,GUF,2010,144
French Polynesia,PYF,2010,252
Gabon,GAB,2010,54
Gambia,GMB,2010,48
Georgia,GEO,2010,68
Germany,DEU,2010,485
Ghana,GHA,2010,0.04
Gibraltar,GIB,2010,252
Greece,GRC,2010,0.2
Greenland,GRL,2010,252
Grenada,GRD,2010,325
Guadeloupe,GLP,2010,144
Guam,GUM,2010,252
Guatemala,GTM,2010,0.28
Guernsey,GGY,2010,252
Guinea,GIN,2010,0.03
Guinea-Bissau,GNB,2010,54
Guyana,GUY,2010,586
Haiti,HTI,2010,0.09
Honduras,HND,2010,189
Hong Kong,HKG,2010,398
Iceland,ISL,2010,281
India,IND,2010,0.01
Indonesia,IDN,2010,57
Iran,IRN,2010,144
Iraq,IRQ,2010,103
Ireland,IRL,2010,0.43
Israel,ISR,2010,297
Italy,ITA,2010,134
Jamaica,JAM,2010,34
Japan,JPN,2010,171
Jordan,JOR,2010,144
Kenya,KEN,2010,27
Kiribati,KIR,2010,103
Kuwait,KWT,2010,686
Latvia,LVA,2010,124
Lebanon,LBN,2010,94
Liberia,LBR,2010,84
Libya,LBY,2010,144
Lithuania,LTU,2010,132
Macao,MAC,2010,368
Madagascar,MDG,2010,16
Malaysia,MYS,2010,198
Maldives,MDV,2010,322
Malta,MLT,2010,214
Marshall Islands,MHL,2010,192
Martinique,MTQ,2010,252
Mauritania,MRT,2010,45
Mauritius,MUS,2010,0.23
Mexico,MEX,2010,87
Micronesia (country),FSM,2010,103
Monaco,MCO,2010,252
Montenegro,MNE,2010,144
Montserrat,MSR,2010,144
Morocco,MAR,2010,73
Mozambique,MOZ,2010,15
Myanmar,MMR,2010,75
Namibia,NAM,2010,144
Nauru,NRU,2010,144
Netherlands,NLD,2010,424
Netherlands Antilles,ANT,2010,252
New Caledonia,NCL,2010,252
New Zealand,NZL,2010,331
Nicaragua,NIC,2010,143
Nigeria,NGA,2010,103
Niue,NIU,2010,252
Norfolk Island,NFK,2010,103
North Korea,PRK,2010,54
Northern Mariana Islands,MNP,2010,252
Norway,NOR,2010,0.28
Oman,OMN,2010,84
Pakistan,PAK,2010,103
Palau,PLW,2010,144
Palestine,PSE,2010,63
Panama,PAN,2010,145
Papua New Guinea,PNG,2010,103
Peru,PER,2010,144
Philippines,PHL,2010,75
Poland,POL,2010,97
Portugal,PRT,2010,265
Puerto Rico,PRI,2010,252
Qatar,QAT,2010,0.16
Reunion,REU,2010,144
Romania,ROU,2010,42
Russia,RUS,2010,112
Saint Helena,SHN,2010,144
Saint Kitts and Nevis,KNA,2010,654
Saint Lucia,LCA,2010,522
Saint Pierre and Miquelon,SPM,2010,252
Saint Vincent and the Grenadines,VCT,2010,221
Samoa,WSM,2010,103
Sao Tome and Principe,STP,2010,103
Saudi Arabia,SAU,2010,156
Senegal,SEN,2010,103
Seychelles,SYC,2010,358
Sierra Leone,SLE,2010,41
Singapore,SGP,2010,194
Sint Maarten (Dutch part),SXM,2010,252
Slovenia,SVN,2010,145
Solomon Islands,SLB,2010,103
Somalia,SOM,2010,54
South Africa,ZAF,2010,0.24
South Korea,KOR,2010,112
Spain,ESP,2010,277
Sri Lanka,LKA,2010,357
Sudan,SDN,2010,103
Suriname,SUR,2010,163
Sweden,SWE,2010,48
Syria,SYR,2010,178
Taiwan,TWN,2010,252
Tanzania,TZA,2010,23
Thailand,THA,2010,144
Togo,TGO,2010,57
Tokelau,TKL,2010,103
Tonga,TON,2010,223
Trinidad and Tobago,TTO,2010,0.29
Tunisia,TUN,2010,144
Turkey,TUR,2010,212
Turks and Caicos Islands,TCA,2010,252
Tuvalu,TUV,2010,144
Ukraine,UKR,2010,103
United Arab Emirates,ARE,2010,199
United Kingdom,GBR,2010,215
United States,USA,2010,335
Uruguay,URY,2010,252
Vanuatu,VUT,2010,295
Venezuela,VEN,2010,252
Vietnam,VNM,2010,103
Yemen,YEM,2010,103
