TIME,GEO,AIRPOL,SRC_CRF,Value
2008,Belgium,Carbon dioxide,All sectors and indirect CO2 (excluding memo items),"119,210.02"
2008,Belgium,Carbon dioxide,All sectors and indirect CO2 (excluding LULUCF and memo items),"120,352.13"
2008,Belgium,Carbon dioxide,"All sectors and indirect CO2 (excluding LULUCF and memo items, including international aviation)","124,692.03"
2008,Belgium,Carbon dioxide,All sectors (excluding memo items),"119,210.02"
2008,Belgium,Carbon dioxide,All sectors (excluding LULUCF and memo items),"120,352.13"
2008,Belgium,Carbon dioxide,"All sectors (excluding LULUCF and memo items, including international aviation)","124,692.03"
2008,Belgium,Carbon dioxide,Energy,"99,770.52"
2008,Belgium,Carbon dioxide,Industrial processes and product use,"19,722.32"
2008,Belgium,Carbon dioxide,Agriculture,161.74
2008,Belgium,Carbon dioxide,"Land use, land use change, and forestry (LULUCF)","-1,142.11"
2008,Belgium,Carbon dioxide,Waste management,697.55
2008,Belgium,Carbon dioxide,Other sectors,0
2008,Belgium,Methane,All sectors and indirect CO2 (excluding memo items),356.01
2008,Belgium,Methane,All sectors and indirect CO2 (excluding LULUCF and memo items),356.01
2008,Belgium,Methane,"All sectors and indirect CO2 (excluding LULUCF and memo items, including international aviation)",356.04
2008,Belgium,Methane,All sectors (excluding memo items),356.01
2008,Belgium,Methane,All sectors (excluding LULUCF and memo items),356.01
2008,Belgium,Methane,"All sectors (excluding LULUCF and memo items, including international aviation)",356.04
2008,Belgium,Methane,Energy,41.53
2008,Belgium,Methane,Industrial processes and product use,2.94
2008,Belgium,Methane,Agriculture,233.75
2008,Belgium,Methane,"Land use, land use change, and forestry (LULUCF)",0
2008,Belgium,Methane,Waste management,77.8
2008,Belgium,Methane,Other sectors,0
2008,Belgium,Methane (CO2 equivalent),All sectors and indirect CO2 (excluding memo items),"8,900.25"
2008,Belgium,Methane (CO2 equivalent),All sectors and indirect CO2 (excluding LULUCF and memo items),"8,900.25"
2008,Belgium,Methane (CO2 equivalent),"All sectors and indirect CO2 (excluding LULUCF and memo items, including international aviation)","8,900.98"
2008,Belgium,Methane (CO2 equivalent),All sectors (excluding memo items),"8,900.25"
2008,Belgium,Methane (CO2 equivalent),All sectors (excluding LULUCF and memo items),"8,900.25"
2008,Belgium,Methane (CO2 equivalent),"All sectors (excluding LULUCF and memo items, including international aviation)","8,900.98"
2008,Belgium,Methane (CO2 equivalent),Energy,"1,038.28"
2008,Belgium,Methane (CO2 equivalent),Industrial processes and product use,73.4
2008,Belgium,Methane (CO2 equivalent),Agriculture,"5,843.64"
2008,Belgium,Methane (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",0
2008,Belgium,Methane (CO2 equivalent),Waste management,"1,944.94"
2008,Belgium,Methane (CO2 equivalent),Other sectors,0
2008,Belgium,Nitrous oxide,All sectors and indirect CO2 (excluding memo items),23.66
2008,Belgium,Nitrous oxide,All sectors and indirect CO2 (excluding LULUCF and memo items),23.36
2008,Belgium,Nitrous oxide,"All sectors and indirect CO2 (excluding LULUCF and memo items, including international aviation)",23.49
2008,Belgium,Nitrous oxide,All sectors (excluding memo items),23.66
2008,Belgium,Nitrous oxide,All sectors (excluding LULUCF and memo items),23.36
2008,Belgium,Nitrous oxide,"All sectors (excluding LULUCF and memo items, including international aviation)",23.49
2008,Belgium,Nitrous oxide,Energy,2.53
2008,Belgium,Nitrous oxide,Industrial processes and product use,6.51
2008,Belgium,Nitrous oxide,Agriculture,13.87
2008,Belgium,Nitrous oxide,"Land use, land use change, and forestry (LULUCF)",0.29
2008,Belgium,Nitrous oxide,Waste management,0.46
2008,Belgium,Nitrous oxide,Other sectors,0
2008,Belgium,Nitrous oxide (CO2 equivalent),All sectors and indirect CO2 (excluding memo items),"7,049.68"
2008,Belgium,Nitrous oxide (CO2 equivalent),All sectors and indirect CO2 (excluding LULUCF and memo items),"6,962.28"
2008,Belgium,Nitrous oxide (CO2 equivalent),"All sectors and indirect CO2 (excluding LULUCF and memo items, including international aviation)","6,999.32"
2008,Belgium,Nitrous oxide (CO2 equivalent),All sectors (excluding memo items),"7,049.68"
2008,Belgium,Nitrous oxide (CO2 equivalent),All sectors (excluding LULUCF and memo items),"6,962.28"
2008,Belgium,Nitrous oxide (CO2 equivalent),"All sectors (excluding LULUCF and memo items, including international aviation)","6,999.32"
2008,Belgium,Nitrous oxide (CO2 equivalent),Energy,753.2
2008,Belgium,Nitrous oxide (CO2 equivalent),Industrial processes and product use,"1,939.27"
2008,Belgium,Nitrous oxide (CO2 equivalent),Agriculture,"4,132.16"
2008,Belgium,Nitrous oxide (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",87.39
2008,Belgium,Nitrous oxide (CO2 equivalent),Waste management,137.65
2008,Belgium,Nitrous oxide (CO2 equivalent),Other sectors,0
2008,Belgium,Hydrofluorocarbones (CO2 equivalent),All sectors and indirect CO2 (excluding memo items),"2,271.87"
2008,Belgium,Hydrofluorocarbones (CO2 equivalent),All sectors and indirect CO2 (excluding LULUCF and memo items),"2,271.87"
2008,Belgium,Hydrofluorocarbones (CO2 equivalent),"All sectors and indirect CO2 (excluding LULUCF and memo items, including international aviation)","2,271.87"
2008,Belgium,Hydrofluorocarbones (CO2 equivalent),All sectors (excluding memo items),"2,271.87"
2008,Belgium,Hydrofluorocarbones (CO2 equivalent),All sectors (excluding LULUCF and memo items),"2,271.87"
2008,Belgium,Hydrofluorocarbones (CO2 equivalent),"All sectors (excluding LULUCF and memo items, including international aviation)","2,271.87"
2008,Belgium,Hydrofluorocarbones (CO2 equivalent),Energy,:
2008,Belgium,Hydrofluorocarbones (CO2 equivalent),Industrial processes and product use,"2,271.87"
2008,Belgium,Hydrofluorocarbones (CO2 equivalent),Agriculture,:
2008,Belgium,Hydrofluorocarbones (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",:
2008,Belgium,Hydrofluorocarbones (CO2 equivalent),Waste management,:
2008,Belgium,Hydrofluorocarbones (CO2 equivalent),Other sectors,0
2008,Belgium,Perfluorocarbones (CO2 equivalent),All sectors and indirect CO2 (excluding memo items),253.69
2008,Belgium,Perfluorocarbones (CO2 equivalent),All sectors and indirect CO2 (excluding LULUCF and memo items),253.69
2008,Belgium,Perfluorocarbones (CO2 equivalent),"All sectors and indirect CO2 (excluding LULUCF and memo items, including international aviation)",253.69
2008,Belgium,Perfluorocarbones (CO2 equivalent),All sectors (excluding memo items),253.69
2008,Belgium,Perfluorocarbones (CO2 equivalent),All sectors (excluding LULUCF and memo items),253.69
2008,Belgium,Perfluorocarbones (CO2 equivalent),"All sectors (excluding LULUCF and memo items, including international aviation)",253.69
2008,Belgium,Perfluorocarbones (CO2 equivalent),Energy,:
2008,Belgium,Perfluorocarbones (CO2 equivalent),Industrial processes and product use,253.69
