region_name,sub_region_name,country_name,Year,Count,Rate
Africa,Eastern Africa,Burundi,2008,437,5.32130968999535
Africa,Eastern Africa,Burundi,2009,496,5.84283412323503
Africa,Eastern Africa,Burundi,2010,304,3.46757644922453
Africa,Eastern Africa,Burundi,2011,499,5.517770316563
Africa,Eastern Africa,Burundi,2012,455,4.88212616057796
Africa,Eastern Africa,Burundi,2013,431,4.48949634934157
Africa,Eastern Africa,Burundi,2014,549,5.55005716862166
Africa,Eastern Africa,Kenya,2005,12715,35.2721327570397
Africa,Eastern Africa,Kenya,2006,13186,35.5877744956082
Africa,Eastern Africa,Kenya,2007,12089,31.7413981113067
Africa,Eastern Africa,Kenya,2008,11479,29.3217482924469
Africa,Eastern Africa,Kenya,2009,14189,35.2633846029659
Africa,Eastern Africa,Kenya,2010,14078,34.0458240637181
Africa,Eastern Africa,Kenya,2011,14366,33.8128237782058
Africa,Eastern Africa,Kenya,2012,14534,33.2992497542021
Africa,Eastern Africa,Kenya,2013,13674,30.5040401122104
Africa,Eastern Africa,Kenya,2014,13949,30.3079354905294
Africa,Eastern Africa,Kenya,2015,14921,31.5880222436751
Africa,Eastern Africa,Kenya,2016,15705,32.389889914426
Africa,Eastern Africa,Kenya,2017,15968,32.1287726358149
Africa,Eastern Africa,Madagascar,2010,3450,16.3107919764141
Africa,Eastern Africa,Madagascar,2011,3434,15.7928994406674
Africa,Eastern Africa,Madagascar,2012,2115,9.46453847755537
Africa,Eastern Africa,Madagascar,2013,2744,11.9506230220391
Africa,Eastern Africa,Madagascar,2014,2542,10.7758433400943
Africa,Eastern Africa,Madagascar,2015,2189,9.03273108523828
Africa,Eastern Africa,Mauritius,2003,105,8.68490662484677
Africa,Eastern Africa,Mauritius,2004,144,11.8452516581296
Africa,Eastern Africa,Mauritius,2005,122,9.98360887821061
Africa,Eastern Africa,Mauritius,2006,106,8.63123301234918
Africa,Eastern Africa,Mauritius,2007,140,11.3460371128874
Africa,Eastern Africa,Mauritius,2008,148,11.9422929040994
Africa,Eastern Africa,Mauritius,2009,274,22.0252985472949
Africa,Eastern Africa,Mauritius,2010,238,19.0712004839918
Africa,Eastern Africa,Mauritius,2011,230,18.3849537538479
Africa,Eastern Africa,Mozambique,2004,1350,6.6460867718012
Africa,Eastern Africa,Mozambique,2005,1272,6.07941377627662
Africa,Eastern Africa,Mozambique,2006,800,3.71273406989955
Africa,Eastern Africa,Mozambique,2007,724,3.26296814635512
Africa,Eastern Africa,Mozambique,2008,728,3.18644772269221
Africa,Eastern Africa,Mozambique,2009,526,2.23600829499564
Africa,Eastern Africa,Rwanda,2008,2249,23.1660573687994
Africa,Eastern Africa,Rwanda,2009,1985,19.8948708918094
Africa,Eastern Africa,Rwanda,2010,2004,19.557245051695
Africa,Eastern Africa,Rwanda,2011,2526,24.0203779529446
Africa,Eastern Africa,Rwanda,2012,3177,29.447059849643
Africa,Eastern Africa,Rwanda,2013,3299,29.8143242690497
Africa,Eastern Africa,Uganda,2003,19491,73.2061287174899
Africa,Eastern Africa,Uganda,2004,25744,93.3821563181894
Africa,Eastern Africa,Uganda,2005,35092,122.9402808442
Africa,Eastern Africa,Uganda,2006,43782,148.159117382886
Africa,Eastern Africa,Uganda,2007,28839,94.2744062884648
Africa,Eastern Africa,Uganda,2008,21186,66.9090120811412
Africa,Eastern Africa,Uganda,2009,17118,52.2337814154476
Africa,Eastern Africa,Uganda,2010,22979,67.7544151161076
Africa,Eastern Africa,Uganda,2011,19023,54.2063908545501
Africa,Eastern Africa,Uganda,2012,18030,49.6601242367958
Africa,Eastern Africa,Uganda,2013,16702,44.4749477055885
Africa,Eastern Africa,Uganda,2014,8210,21.1416283606627
Africa,Eastern Africa,Uganda,2015,10065,25.0716965829009
Africa,Eastern Africa,Uganda,2016,7019,16.8915040812271
Africa,Eastern Africa,Uganda,2017,5732,13.3728390453305
Africa,Eastern Africa,United Republic of Tanzania,2014,1834,3.51106461088282
Africa,Eastern Africa,United Republic of Tanzania,2015,2361,4.38196340802573
Africa,Eastern Africa,Zimbabwe,2003,78464,621.059361177315
Africa,Eastern Africa,Zimbabwe,2004,95581,748.040835183002
Africa,Eastern Africa,Zimbabwe,2005,92510,714.913224325875
Africa,Eastern Africa,Zimbabwe,2006,77525,590.699655836017
Africa,Eastern Africa,Zimbabwe,2007,63803,478.645428112075
Africa,Eastern Africa,Zimbabwe,2008,51247,377.970403590553
Africa,Middle Africa,Cameroon,2003,2998,18.1544890092675
Africa,Middle Africa,Cameroon,2004,3056,18.0198443535944
Africa,Middle Africa,Cameroon,2005,3140,18.0244357390119
Africa,Middle Africa,Cameroon,2006,3136,17.5199817738557
Africa,Middle Africa,Cameroon,2007,3482,18.9286565236538
Africa,Middle Africa,Cameroon,2009,1486,7.64696701270307
Africa,Middle Africa,Cameroon,2010,4917,24.6213226061748
Africa,Middle Africa,Cameroon,2011,5281,25.7353068381015
Africa,Middle Africa,Cameroon,2012,5764,27.3403628043376
Africa,Middle Africa,Cameroon,2013,5630,25.9977562504863
Africa,Middle Africa,Cameroon,2014,3690,16.591798237978
Africa,Middle Africa,Cameroon,2015,4805,21.0427001712582
Africa,Middle Africa,Cameroon,2016,1850,7.88601208588899
Africa,Middle Africa,Cameroon,2017,4458,18.5333000748316
Africa,Middle Africa,Sao Tome and Principe,2003,1,0.673981613781576
Africa,Middle Africa,Sao Tome and Principe,2004,1,0.658028940112786
Africa,Middle Africa,Sao Tome and Principe,2006,0,0
Africa,Middle Africa,Sao Tome and Principe,2007,4,2.45246810258674
Africa,Middle Africa,Sao Tome and Principe,2008,1,0.599114508756059
Africa,Middle Africa,Sao Tome and Principe,2009,5,2.92717767383045
Africa,Middle Africa,Sao Tome and Principe,2010,0,0
Africa,Middle Africa,Sao Tome and Principe,2011,4,2.23713646532438
Africa,Northern Africa,Algeria,2003,23050,71.1342603151004
Africa,Northern Africa,Algeria,2004,20234,61.6305955792642
Africa,Northern Africa,Algeria,2005,32920,98.8931982598042
Africa,Northern Africa,Algeria,2006,36681,108.594624623811
Africa,Northern Africa,Algeria,2007,36915,107.623668239102
Africa,Northern Africa,Algeria,2008,40398,115.884025901362
Africa,Northern Africa,Algeria,2009,42298,119.264327057985
Africa,Northern Africa,Algeria,2010,41381,114.572833211652
Africa,Northern Africa,Algeria,2011,45548,123.705993428818
Africa,Northern Africa,Algeria,2012,52287,139.187597713423
Africa,Northern Africa,Algeria,2013,54472,142.081489650029
Africa,Northern Africa,Algeria,2014,53853,137.684578138395
Africa,Northern Africa,Algeria,2015,49091,123.122946278858
Africa,Northern Africa,Egypt,2006,65,0.0831637560375608
Africa,Northern Africa,Egypt,2007,71,0.0892663466765693
Africa,Northern Africa,Egypt,2008,120,0.148232547368544
Africa,Northern Africa,Egypt,2009,134,0.162493135574498
Africa,Northern Africa,Egypt,2010,156,0.185476685663839
Africa,Northern Africa,Egypt,2011,339,0.394656141633637
